Club Name,Description
The Diabetes Link,Support for students with Type 1 diabetes
The Helping Hive,Free virtual academic tutoring
The Leukemia & Lymphoma Society @ GT,Cancer research fundraising
The Living Room,Christian fellowship and weekly dinners
The Navigators,Nondenominational Christian ministry
The Neurodiversity Initiative,Advocacy and support for neurodiverse families
The Nourish Project,Elder care and social connection
The Oasis,Christian outreach community
The Technique,Student-run campus newspaper
The Tower Research Journal,Undergraduate research publication
The Wesley Foundation,Methodist campus ministry
The Women's Network,Professional growth and networking for women
Theme Park Engineering & Design Club,Theme park design and industry exposure
Thomistic Institute @ GT,Philosophy and theology discussions
Tikkun Olam Makers,Assistive technology projects
Trading at Georgia Tech,Quantitative finance education
Trailblazers,Outdoor service and recreation
Transfer Student Association,Support for transfer students
Treble Choir,Treble-voice choral ensemble
Triathlon Club,Competitive triathlon training
Turkish Student Organization,Turkish culture and community
